Permutation,Q2_Scrambled
313,-0.09089530877154584
314,-0.0957260521422465
315,-0.2488501352511696
316,-0.0510387724550998
317,-0.40357168260656606
318,-0.2200472175093091
319,-0.044315476940637755
320,-0.1496266757575686
321,-0.012393177402631572
322,-0.07950245272390588
323,-0.23025247288867523
324,-0.03365426627952961
325,-0.09020719560638102
326,0.017287582482240715
327,-0.2725125977973568
328,-0.06743068421213172
329,-0.19075533647456377
330,-0.1856302571515991
331,-0.029339522591652623
332,-0.1396857432264207
333,-0.10339943668115881
334,-0.43767988563255056
335,-0.5994264542796119
336,-0.14610434680209772
337,-0.04863010042046789
338,-0.21785389688437284
339,-0.19739801890117303
340,-0.02442121123471619
341,-0.34254303397955055
342,-0.07271159779144987
343,-0.10292535913177181
344,-0.04329113602355905
345,-0.57706818426309
346,-0.034965516882425884
347,-0.3558118651034403
348,-0.049099296904475676
349,0.11168091588777085
350,-0.06143534095332659
351,0.09137269937038361
352,-0.14254050568655474
353,-0.19930188581767183
354,-0.04816751286676091
355,-0.06968543096157487
356,-0.2196587462633559
357,-0.0988879655934145
358,-0.19550057482444072
359,-0.023467777931837963
360,-0.0642810862529426
361,-0.5204729007680342
362,-0.13235479716412768
363,-0.034120513384763074
364,-0.09733854657625063
365,-0.1297888073743445
366,-0.16129936452628812
367,-0.006244523469015828
368,-0.09483714982547164
369,-0.04831476944545665
370,-0.12564402088460236
371,-0.0628077565322358
372,-0.08813617748973535
373,-0.08485562694099058
374,-0.05538106789286679
375,-0.14970214995371145
376,-0.05959123831268465
377,-0.125388004303705
378,-0.017536270144071775
379,-0.05352380230047937
380,-0.025175940068138836
381,-0.18499031147671818
382,0.06535925794116482
383,-0.08783304816656035
384,-0.1168791408985308
385,-0.06942716532791415
386,-0.26726800873309764
387,-0.3571013777394718
388,-0.06497118221792952
389,-0.07028412270776552
390,-0.18045158442885056
391,-0.12224412543209362
392,-0.11101256145777172
393,-0.10043996686680656
394,-0.028670205547544292
395,-0.05661372665618192
396,-0.01626939777526104
397,-0.0289147971507977
398,-0.14883906363164834
399,-0.009399774536352323
400,-0.23221315237465845
401,-0.31098368639008434
402,0.020770514950340435
403,0.13411159397590855
404,-0.06642848163169424
405,-0.045630668742242975
406,0.02871622920670225
407,-0.14537546510765553
408,-0.15571343280648375
409,-0.05013408144060216
410,-0.11633432248079667
411,0.028893290711164532
412,-0.23799487370026928
413,-0.1077701901034096
414,-0.05856083706347537
415,-0.07650693602119052
416,-0.055342083307207135
417,-0.048888589609543676
418,-0.24473436786528202
419,-0.045070942743234754
420,-0.30997648128983424
421,-0.11825024202544876
422,-0.02745828496698599
423,-0.12982285459765097
424,-0.14909657928028253
425,-0.05258106641704452
426,0.07344635843871505
427,0.0017907912646464297
428,-0.04996067232488732
429,-0.09193464639710025
430,-0.15225981517451914
431,-0.152980178578479
432,-0.289673790939889
433,-0.0992752040707563
434,-0.19721463080065083
435,-0.008984470789756394
436,-0.16394430321761555
437,-0.19452802815459913
438,-0.18543284318094022
439,-0.040369783201947174
440,-0.17631663513782714
441,-0.012116252765950408
442,-0.1325418583221103
443,-0.18765840254900823
444,-0.016442086505658038
445,-0.06935932294583158
446,-0.17119634770945358
447,-0.08220914378848887
448,-0.05048192669973672
449,-0.22189850112110654
450,-0.08840745088944368
451,-0.04829592455570153
452,-0.023683562612299536
453,-0.1435538272456347
454,-0.024951634470162354
455,-0.08963246842505357
456,-0.08108064924105585
457,-0.05155558945129246
458,-0.14568436801872386
459,-0.028100947066022952
460,-0.04480835845672493
461,-0.02127868892602436
462,-0.03203287139945887
463,-0.23501248077012282
464,-0.1569904609726216
465,-0.02705533186568121
466,-0.06435423947500074
467,-0.08194060954579352
468,-0.03926302821615857
469,-0.051603328991827846
470,-0.13261104187357664
471,-0.6707165336567382
472,-0.08323752675448093
473,-0.10823365690441311
474,-0.06547038641241354
475,-0.04898511559176599
476,-0.05843578085369061
477,0.009441784385768037
478,-0.04339129114255624
479,-0.08581197902463589
480,-0.06976289902609034
481,-0.07289505339309743
482,-0.05507089512055785
483,-0.05452776539953841
484,-0.2553318820728594
485,-0.05526670808548517
486,-0.05920105574203993
487,-0.11747651629638844
488,-0.02851581540632564
489,-0.015720236087037875
490,-0.008492946468543705
491,-0.16826076575056148
492,0.0015522833245011913
493,-0.08155380762820164
494,-0.03158457200112341
495,-0.13115132353529013
496,-0.43021950947459886
497,-0.19742354936523387
498,-0.10418245938698245
499,-0.05579501131692299
500,-0.21454636071447086
501,-0.0897997472020775
502,-0.4118120058428423
503,-0.07860720207546534
504,-0.3309369615967628
505,-0.10164495929688888
506,-0.027009130750911048
507,-0.014191241764167195
508,-0.18916012265580284
509,-0.0658277607082507
510,-0.039122494139250064
511,-0.033463109924371404
512,-0.1714320670848617
513,-0.18287646996727913
514,-0.06267465796079019
515,-0.04034477111883428
516,-0.27260370287624625
517,-0.10143225853347282
518,-0.05145814562053275
519,-0.08195954860779175
520,-0.11543367942802196
